0,0,0,0,0,0,0,0,0,0,´í,
1,1,1,1,1,1,0,0,1,1,2,5
2,2,2,2,2,2,2,2,2,2,,2
3,3,3,3,3,3,3,3,3,3,,0
4,4,4,4,4,4,4,4,4,4,,0
5,5,5,5,5,5,5,5,5,5,,3
6,6,6,6,6,6,6,6,6,6,,1
7,7,7,1,7,7,7,7,7,7,1,4
8,8,8,8,8,8,8,8,8,8,,4
9,9,9,7,9,9,9,7,7,7,4,0
0,0,0,0,9,0,0,0,9,9,3,4
1,1,1,1,1,1,1,1,1,1,,
2,2,2,2,2,2,2,2,2,2,,
3,3,3,3,3,3,3,3,3,3,,
4,4,4,3,4,6,4,4,9,4,3,23
5,5,0,5,5,5,5,5,5,5,1,
6,6,6,6,6,9,6,5,9,9,4,
7,7,7,1,1,7,0,7,7,7,3,
8,8,8,8,8,8,8,8,8,8,,
9,9,9,9,9,9,9,9,9,9,,
0,0,0,0,1,1,0,0,0,0,2,
1,1,1,1,1,1,1,1,1,1,,
2,2,2,2,2,2,2,2,2,2,,
3,3,3,3,3,3,3,3,3,3,,
4,4,4,4,4,4,4,4,4,4,,
5,5,5,5,5,5,5,5,5,5,,
6,6,6,6,6,6,6,6,6,6,,
7,7,7,7,7,7,7,7,7,7,,
8,8,8,8,8,8,8,8,8,8,,
9,9,9,9,9,9,9,9,9,9,,
