0,0,0,1,1,1,0,0,0,0,,´í£º3,,,,0,1,2,3,4,5,6,7,8,9
1,1,1,1,1,1,1,1,1,0,,1,,´í4,0,23,4,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,2,2,,,,1,1,1,26,0,0,0,0,0,0,0,0
3,3,3,3,3,3,3,3,3,3,,,,0,2,0,0,27,0,0,0,0,0,0,0
4,4,4,4,4,4,4,4,4,4,,0,,1,3,0,0,0,26,0,0,0,0,1,0
5,5,5,5,9,5,5,5,9,5,,2,,5,4,0,0,0,1,24,0,0,0,1,1
6,6,6,6,6,6,6,6,6,0,,1,,3,5,0,0,0,0,0,24,1,0,0,2
7,4,7,0,7,7,7,7,7,7,,2,,11,6,1,0,0,0,0,0,16,0,0,10
8,8,8,8,8,8,8,8,8,8,,,,4,7,2,0,0,1,1,0,0,23,0,0
9,9,9,9,9,9,9,9,9,9,,,,0,8,0,0,0,0,0,0,0,0,27,0
0,0,0,0,0,0,0,1,0,0,,1,,0,9,0,0,0,0,0,0,0,0,0,27
1,1,1,1,1,1,1,1,1,1,,,,,Õæ,,,,,,,,,,
2,2,2,2,2,2,2,2,2,2,,,,29,,,,,,,,,,,
3,3,3,3,3,3,3,3,3,3,,,,27*10,,,,,,,,,,,
4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,
5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,
6,6,6,6,9,9,9,9,9,9,,6,,,,,,,,,,,,,
7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,
8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,,,
9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,
3,3,3,3,3,3,3,3,3,8,,1,,,,,,,,,,,,,
4,4,4,4,3,8,4,4,9,4,,´í£º3,,,,,,,,,,,,,
5,5,5,5,5,5,5,6,5,5,,1,,,,,,,,,,,,,
6,6,6,9,6,9,6,6,9,9,,4,,,,,,,,,,,,,
7,7,7,7,3,7,7,0,7,7,,2,,,,,,,,,,,,,
8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,,,
9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,,
